customer_id,gender,agecat,edcat,jobcat,empcat,retire,income,creddebt,othdebt,jobsat,marital,spousedcat,residecat,homeown,hometype,addresscat,default
8959-IHGLW,F,2,1,2,2,0,58,.68672,.47328,1,0,-1,2,1,1,2,0
1261-AORRW,M,1,2,3,3,0,29,.47299,1.55701,2,0,-1,4,1,1,2,0
8285-WSERS,F,2,2,1,2,0,47,.19646,4.97354,5,1,2,6,1,4,3,1
1496-EUWCZ,M,2,1,6,3,0,43,.464744,7.834256,3,0,-1,1,1,1,2,0
8605-LFPLQ,M,2,2,6,4,0,47,3.499902,5.383098,4,0,-1,1,0,2,2,0
9144-PORZH,M,2,1,6,4,0,34,1.634958,3.023042,4,0,-1,3,0,2,2,0
9733-XLGCM,F,3,1,3,5,0,74,3.990672,8.441328,5,0,-1,1,1,1,3,0
3998-HYCJZ,F,4,3,4,5,0,179,.487954,4.703046,4,0,-1,1,1,1,3,0
3424-CCOFY,M,4,1,5,5,0,126,5.18616,13.33584,3,0,-1,1,1,1,3,0
7889-IUIUO,F,4,2,1,4,0,104,1.077648,2.354352,5,0,-1,1,0,2,3,0
5292-RNADV,M,1,1,2,1,0,20,1.4724,2.1276,2,1,1,4,1,1,1,0
0663-GISBV,M,2,2,2,2,0,48,6.957216,2.786784,1,1,1,3,1,3,2,1
9718-SOGSU,F,1,2,2,1,0,24,1.41264,.74736,1,0,-1,1,1,3,1,1
4917-OTLAJ,M,4,3,2,4,0,101,4.566412,8.260588,5,1,1,2,1,3,3,0
5995-AKKFR,F,3,2,6,5,0,71,1.230075,4.094925,4,1,3,4,1,1,3,0
4092-ZBNBC,M,3,1,2,2,0,35,1.715805,2.379195,3,0,-1,1,0,2,2,1
4176-ONXXK,F,1,1,4,2,0,18,.887922,3.486078,2,1,2,3,1,1,1,0
4165-WTOFK,M,3,2,2,2,0,34,.391476,.900524,3,1,1,2,1,1,3,0
7129-GFXXX,F,2,3,1,2,0,32,.815712,1.968288,3,0,-1,1,1,1,2,0
6059-JDFIU,F,4,3,5,5,1,9,.141588,.542412,5,1,3,4,1,4,3,0
3655-JSXXY,M,2,3,3,3,0,128,1.148928,4.483072,5,0,-1,2,0,2,2,0
2449-WRZAV,M,1,1,2,2,0,18,.763776,1.072224,5,1,1,3,1,1,1,0
7829-WXZTM,M,3,2,2,2,0,26,.540826,1.045174,1,0,-1,2,1,1,3,0
4140-GWJWX,F,4,2,2,2,1,19,.342,.798,3,0,-1,1,1,3,3,0
6373-QTXJM,M,3,1,2,2,0,29,.88508,.12992,2,1,1,2,0,2,3,0
2571-FAKRT,F,3,2,6,5,0,215,8.30889,3.94611,3,0,-1,1,1,1,3,0
0048-CSEXU,M,2,1,2,3,0,31,2.645664,5.228336,5,0,-1,1,1,1,2,0
9376-UKCIG,F,3,1,2,3,0,120,1.69344,4.06656,3,0,-1,1,0,2,2,0
9813-ENMXO,F,1,3,2,1,0,52,.21632,.30368,1,1,3,2,0,2,1,1
9192-VEXRB,F,1,2,1,1,0,15,.29799,1.63701,2,0,-1,1,1,2,1,1
0818-INRPL,M,2,3,2,1,0,30,2.86776,2.17224,1,1,3,4,1,2,1,1
8405-SGGCN,M,3,2,2,2,0,40,.0256,1.5744,2,0,-1,1,1,1,3,0
4341-EKBMW,M,4,1,1,5,1,57,2.10672,5.41728,3,1,2,3,0,2,1,0
3591-KYGSW,F,3,1,2,3,0,32,.453888,.698112,4,1,1,2,1,3,2,0
2512-ODJFY,M,3,1,2,2,0,41,.397044,.340956,3,0,-1,1,1,1,3,0
9380-CYKBI,M,3,3,3,5,0,112,2.748928,10.467072,4,0,-1,1,0,2,3,0
7702-BKGEO,M,1,2,5,1,0,35,1.501185,1.543815,1,1,2,6,1,3,1,1
8336-GUOBX,M,1,2,1,2,0,24,.7182,1.8018,3,0,-1,1,0,2,1,0
4200-HWCVX,F,2,2,3,4,0,74,4.584448,4.887552,3,1,2,5,1,1,3,0
1740-YFMDB,F,3,2,4,4,0,27,.881199,2.601801,3,1,1,5,0,2,2,0
8844-VPDGN,M,1,2,1,1,0,24,.160344,1.063656,2,0,-1,1,1,1,1,0
6920-DLAOP,M,3,1,2,3,0,55,1.396395,3.718605,4,0,-1,2,1,3,3,0
6073-ZMQPU,F,2,2,1,2,0,26,.592696,3.021304,3,1,2,4,1,1,1,1
9177-BWQWL,F,1,2,4,3,0,36,1.194336,1.973664,1,1,1,2,0,1,2,0
4047-RVEQQ,F,2,2,5,3,0,17,.359856,1.306144,2,1,2,5,1,1,1,0
9479-BXZNK,F,3,1,1,4,0,60,1.96524,4.39476,3,0,-1,1,1,1,3,0
5668-SXBPV,F,1,3,1,1,0,67,3.005821,3.091179,2,1,2,5,1,4,2,0
4543-TCVCE,F,3,2,1,3,0,85,.732105,1.732895,3,1,2,2,1,3,3,0
3573-YPIDK,F,4,1,1,3,1,10,1.07814,.43186,1,0,-1,1,0,3,3,0
3199-DMRGF,M,2,3,6,2,0,23,.362526,1.339474,4,0,-1,1,1,1,1,0
9314-YMTHE,F,2,3,3,2,0,53,4.35872,4.12128,4,1,2,3,1,3,2,1
6453-VLXJC,M,1,1,1,1,0,22,.324192,.731808,2,1,1,3,0,3,1,0
5340-QVTBK,M,2,3,6,3,0,51,1.417392,2.254608,5,1,3,3,1,3,2,0
0880-LDWQA,F,2,3,5,3,0,24,.20412,2.31588,3,1,2,4,1,3,2,0
5671-VQUXF,F,2,1,1,2,0,45,1.28079,.42921,3,0,-1,1,1,1,3,0
5358-MLJLR,M,1,2,3,2,0,25,2.2663,1.0087,2,0,-1,2,1,1,1,0
8954-ZPKEO,M,4,2,1,4,0,73,1.2848,1.9272,4,0,-1,1,0,2,3,0
1403-TCEYQ,F,2,2,1,3,0,55,2.32826,1.85174,5,1,1,4,1,3,2,0
5328-BQAGN,F,2,1,1,2,0,49,.682668,1.424332,2,0,-1,1,0,2,2,0
8447-PVMXK,M,4,2,2,2,0,38,1.070498,4.363502,5,1,2,3,0,2,1,0
6401-WKHYI,M,1,2,3,1,0,13,.42042,1.49058,1,0,-1,3,0,2,1,0
8051-WXAMC,F,2,2,2,2,0,21,.664692,2.779308,1,1,2,5,1,1,2,0
1464-LDEVQ,M,4,1,2,3,0,59,7.909776,3.654224,5,1,2,4,0,1,3,1
6071-GFGOL,M,1,2,4,2,0,23,.389988,2.094012,4,0,-1,2,1,1,1,0
4422-GQOQF,M,4,2,1,4,0,100,1.88,18.12,4,1,3,2,0,1,2,0
1091-EZFWL,M,2,2,1,3,0,33,1.170774,1.502226,4,0,-1,1,1,3,2,0
3179-PKDHE,F,2,2,1,2,0,18,.433566,1.564434,4,0,-1,1,0,2,2,1
1966-IPMBP,M,2,1,2,3,0,35,.67592,4.29408,2,1,2,5,0,2,2,0
5512-KXKST,M,1,1,2,1,0,19,.033212,.327788,1,0,-1,1,1,1,1,1
6723-CKVUX,M,3,1,3,5,0,43,1.000309,.848691,5,0,-1,1,0,2,3,0
7773-HPOEH,F,2,2,1,2,0,25,.2268,1.8732,3,0,-1,1,1,4,3,0
9533-NGMCE,M,1,2,2,1,0,19,1.736106,1.246894,1,0,-1,1,0,2,1,1
6088-JIBSA,M,2,2,2,2,0,28,1.447992,1.828008,3,0,-1,1,1,1,1,1
4725-VKUPR,M,4,1,6,5,1,23,.406019,2.514981,4,1,2,2,0,2,3,0
7230-GXSZZ,F,2,3,3,2,0,26,.06344,1.52256,2,0,-1,1,1,3,2,0
1185-BMLGV,F,4,1,5,5,0,91,.083538,3.010462,5,1,2,5,1,1,3,0
8153-BXORE,F,4,2,1,3,0,42,.307146,2.674854,1,0,-1,1,0,2,3,0
1620-UVLWO,F,4,1,1,5,1,14,.136724,.395276,2,0,-1,1,0,2,2,0
2940-EHVMM,F,4,1,6,5,1,17,.469336,.686664,5,0,-1,1,0,2,3,0
0205-YUXWL,M,2,2,2,2,0,22,1.020272,3.093728,1,0,-1,1,1,4,2,0
2020-HSRPJ,M,3,2,2,2,0,56,.5698,2.5102,3,1,2,4,0,2,3,0
0619-TBKWC,F,1,3,3,1,0,26,.0468,1.5132,1,1,3,6,1,3,1,0
1288-SHWCP,F,2,1,2,3,0,40,.59408,1.28592,1,1,2,2,1,3,2,0
8349-CVZKB,F,2,2,2,1,0,26,.368082,.645918,1,1,2,2,0,1,2,0
8939-CIIVZ,M,3,2,1,5,0,169,4.729296,13.184704,2,1,2,2,0,2,3,0
4510-FCPAU,M,2,1,6,4,0,27,.202176,1.903824,3,0,-1,1,0,2,2,0
9099-GMTNI,F,3,1,3,5,0,153,4.744224,16.063776,4,0,-1,2,1,1,3,0
6070-OHLTI,M,1,1,1,2,0,19,1.2426,1.6074,3,1,3,3,0,2,1,1
1840-UOADI,F,4,1,6,5,1,12,.61248,.70752,2,0,-1,1,0,2,3,0
9344-CMCBC,F,4,1,2,5,0,78,2.712528,2.669472,4,0,-1,2,1,3,3,0
6772-OALLX,F,2,2,1,2,0,45,.567,1.683,3,0,-1,1,1,1,2,0
0173-FSPZZ,F,2,1,1,2,0,29,.211932,2.224068,2,1,1,4,1,2,2,0
3140-NAVVD,F,2,3,3,3,0,59,.004956,2.473044,1,1,2,4,1,1,2,0
9714-XMPSI,M,3,1,1,2,0,44,.092928,.259072,5,1,1,2,0,2,1,0
7217-MLUQE,F,3,2,2,3,0,51,6.951555,4.931445,2,0,-1,1,0,2,2,0
7255-TLXOD,M,3,2,4,4,0,139,.094798,1.434202,3,1,2,2,1,1,3,0
4872-NNFVG,M,2,2,3,3,0,56,2.935912,2.832088,4,1,2,2,1,1,2,1
3562-SAXSW,M,4,2,1,5,0,125,4.37,14.63,2,0,-1,1,1,2,2,1
3932-VSSRZ,F,2,3,1,2,0,44,.445984,2.018016,2,0,-1,1,1,1,1,0
2272-ROEZC,M,2,2,3,3,0,106,4.846744,12.219256,5,1,2,3,0,2,2,0
3599-CWXYP,M,2,1,2,3,0,75,5.4234,1.4766,5,0,-1,1,0,2,2,0
2598-NKVQR,M,4,3,5,5,0,60,5.42724,5.49276,4,1,2,2,1,1,3,0
7254-JTYBD,F,1,2,1,1,0,31,.908424,1.323576,2,1,1,4,1,3,1,0
6968-AFFLO,F,2,3,1,3,0,40,.756,1.404,5,0,-1,4,1,1,2,0
0310-YVBWZ,F,1,2,2,1,0,25,1.221025,3.003975,2,1,2,5,1,3,1,1
5737-UPLAO,F,4,3,1,3,0,36,1.71,2.79,3,0,-1,1,0,2,3,0
6890-PRSFH,M,3,2,1,2,0,87,5.204601,8.106399,5,0,-1,1,0,1,3,0
8479-PFNDK,F,2,3,1,1,0,45,1.833435,1.811565,3,0,-1,1,1,4,2,0
2946-AWUWW,F,4,2,1,5,0,160,4.20112,15.15888,4,0,-1,1,1,4,3,0
1405-BENMH,M,3,1,1,3,0,44,.558624,1.465376,2,0,-1,3,0,2,3,0
7214-STNSE,F,2,2,3,2,0,29,.748258,2.064742,1,1,2,5,0,2,1,0
4572-CVRIB,F,1,2,2,1,0,32,1.32352,1.68448,2,1,3,5,1,3,1,1
9829-MPUJQ,F,4,2,3,4,0,38,1.599724,6.646276,4,1,1,2,1,3,3,0
2132-FHNIV,M,1,1,6,2,0,14,.22022,.54978,3,1,1,5,1,1,1,0
6093-OIQMG,M,4,1,3,5,1,17,.19975,1.39825,4,0,-1,1,0,2,3,0
9044-ZPQNB,F,4,2,2,2,0,23,.24495,.44505,4,0,-1,1,1,1,3,0
8301-MZAKP,F,3,2,2,2,0,105,2.50278,3.69222,5,0,-1,1,1,1,1,0
7392-IUPQN,M,1,1,1,2,0,40,2.1684,3.0316,5,0,-1,1,1,3,1,0
3585-OLDYW,M,1,2,5,3,0,67,2.092343,9.096657,4,0,-1,2,1,1,1,1
7128-QJXRZ,F,1,2,6,2,0,32,.465152,2.062848,2,1,3,3,1,1,1,0
8410-NPUYF,M,3,1,3,4,0,48,1.555008,2.812992,3,0,-1,1,1,3,2,0
5185-NZTIV,M,3,2,1,4,0,85,4.66752,7.48748,4,0,-1,1,1,1,3,0
2677-EYWUS,F,4,3,6,5,1,15,1.165455,.289545,4,1,3,2,0,2,2,0
0939-KFBNX,F,1,2,6,2,0,31,.574275,1.192725,3,1,3,2,1,1,1,1
8041-XGDRR,F,2,3,3,3,0,94,3.65519,3.58281,4,0,-1,1,1,3,2,0
4417-EDKAX,F,3,2,1,5,0,31,.83731,1.45669,4,0,-1,1,1,1,3,0
9251-XCZKH,F,2,1,3,3,0,28,.5376,2.1504,5,0,-1,3,1,1,1,0
5552-CFFBV,F,2,3,2,2,0,94,7.305116,9.802884,2,1,2,3,0,2,2,1
4842-LZOUG,M,4,1,2,5,1,18,.149688,.822312,3,1,1,5,0,2,3,0
3520-REFBN,F,3,1,3,5,0,66,1.24278,3.37722,5,0,-1,1,1,1,3,0
4603-IFDND,F,3,2,2,2,0,51,1.879146,1.639854,4,1,2,2,1,3,3,0
3267-WLUKE,M,4,2,6,5,1,34,.479808,2.784192,5,1,2,2,1,1,3,0
9979-WQERN,F,3,3,1,4,0,106,.92061,3.84939,3,1,3,2,1,1,3,0
3942-QEPNH,F,2,2,1,2,0,79,.64227,.54273,3,0,-1,3,1,1,2,0
3025-MHYXI,M,4,2,4,5,0,113,2.967154,1.326846,3,0,-1,1,0,1,3,0
2069-MAOFA,M,1,1,2,1,0,16,.17928,.54072,2,1,2,4,0,1,1,0
5381-ZSXNJ,F,1,2,6,1,0,26,.88452,1.45548,1,0,-1,1,0,2,1,0
0311-EULJM,F,1,2,3,1,0,47,.254082,1.343918,1,0,-1,2,1,1,1,0
8914-VFTPW,M,2,2,2,3,0,28,.500192,1.123808,3,0,-1,1,0,1,2,0
1289-VZDLH,F,3,3,3,4,0,43,.414004,4.573996,3,0,-1,1,0,2,2,0
5896-TGQIV,F,3,1,1,3,0,29,1.673764,1.052236,3,0,-1,1,0,2,1,0
5187-DXYCX,F,2,2,1,2,0,66,1.777248,4.954752,4,0,-1,2,1,1,2,1
9629-MGRHM,M,3,2,6,5,0,59,.349811,2.541189,3,1,3,3,1,2,3,0
5922-XIFVN,M,1,2,6,2,0,71,2.174588,2.227412,1,1,3,5,1,1,2,0
4752-WXBUA,F,4,2,2,3,0,65,1.4274,1.4976,3,1,2,2,0,4,3,0
9487-NJZJO,M,2,3,5,4,0,53,2.9627,1.5953,5,0,-1,1,0,2,2,0
3618-RSOAX,F,4,2,2,3,1,13,.388024,.677976,2,0,-1,1,0,2,3,0
8128-HLKHB,M,4,1,2,3,0,36,1.535616,2.928384,4,1,1,2,0,1,2,0
0867-TWFAN,F,4,1,5,5,1,41,2.712068,1.059932,5,1,2,4,1,1,3,0
5153-BTBDB,F,3,3,1,3,0,25,.72675,1.64825,5,0,-1,1,0,2,2,0
6701-BEKNB,F,2,1,6,5,0,65,2.260505,3.134495,3,0,-1,1,0,2,2,0
1152-VRIMQ,M,2,1,2,2,0,24,.112896,2.239104,1,1,1,2,1,3,2,0
7083-HPJDW,M,4,1,2,5,1,10,.94176,1.93824,2,1,1,2,1,1,3,0
8123-FMXWA,M,4,1,2,4,1,9,.742122,.715878,2,0,-1,1,1,1,3,0
0194-XJLEL,M,4,2,2,5,1,13,.69368,1.69832,4,0,-1,1,1,1,3,0
2295-YVIET,M,4,1,2,3,1,19,.141645,.523355,4,0,-1,1,1,3,3,0
3971-BBPCP,M,3,1,3,4,0,53,3.624564,3.742436,4,1,2,2,0,2,2,0
2647-QAMCE,F,2,2,2,2,0,31,2.488432,1.107568,1,1,2,2,1,4,2,0
2340-SPSET,M,2,1,2,2,0,30,.02511,.90489,5,0,-1,1,1,3,2,0
7847-XUTQT,F,2,1,3,4,0,53,1.958138,3.235862,3,1,1,2,0,2,2,0
7345-GIQBP,M,2,2,1,2,0,47,1.028736,1.650264,5,0,-1,1,0,2,1,0
7394-KNAGI,F,3,2,2,3,0,96,1.812384,17.675616,2,0,-1,1,0,1,3,0
1475-IBTOQ,F,4,2,3,5,0,123,5.765256,5.673744,4,1,1,3,1,1,3,0
6952-PWZVH,M,3,1,1,3,0,50,.08075,.16925,5,0,-1,1,1,1,3,0
2089-BKVGI,M,4,3,2,3,0,39,1.25697,10.17003,1,1,3,2,1,1,3,0
7496-NBPOM,M,1,1,2,1,0,16,.298592,1.077408,1,1,2,3,1,1,1,0
7845-QQXUM,M,1,3,1,1,0,21,.139104,.616896,2,0,-1,1,0,2,1,1
5073-AWJRI,M,4,1,1,3,1,18,.343602,1.474398,3,0,-1,1,0,2,3,0
6942-HAYQE,M,4,1,2,3,0,40,.86108,3.25892,2,0,-1,1,1,3,3,0
3736-AESPR,M,4,2,5,5,1,58,2.059232,4.436768,5,0,-1,1,0,2,3,0
3567-PLVBG,M,1,1,1,1,0,33,.18315,1.03785,2,0,-1,2,1,1,1,1
3760-TPSZY,F,1,2,6,1,0,22,.621192,.522808,2,1,1,5,1,1,1,0
8797-WGAEZ,M,4,1,2,2,0,27,.776628,.600372,4,1,1,2,1,4,3,0
0202-DTDIR,M,3,2,2,2,0,32,.64768,1.11232,4,1,3,4,0,2,3,0
5136-BGPEX,F,4,2,6,5,0,52,.220168,1.287832,4,0,-1,1,1,1,3,0
5010-NJLLK,M,3,1,6,5,0,159,2.064933,3.818067,4,1,1,2,1,1,3,0
7654-GDHMD,F,2,2,4,4,0,40,2.7846,3.3354,4,0,-1,2,1,3,2,0
0430-MMSEO,F,1,1,2,1,0,16,.82296,1.33704,4,1,1,6,1,3,2,1
3999-FPTEN,M,4,2,1,5,0,107,2.58405,16.14095,5,0,-1,1,1,1,3,0
8920-TWQPJ,F,4,2,1,5,0,342,18.069912,19.892088,5,1,2,2,1,1,2,1
7304-XXXIM,F,2,3,6,3,0,187,5.843376,17.718624,2,1,1,3,1,1,2,0
9383-RKFDB,M,1,2,2,1,0,26,.11934,2.53266,5,1,1,6,1,1,2,1
2503-JWDVO,M,2,3,1,2,0,90,2.8125,1.6875,2,0,-1,2,1,3,1,0
3444-YZTRT,M,4,1,1,5,1,26,.929214,.552786,5,1,1,2,1,3,3,0
2328-TKBGZ,M,1,2,1,1,0,48,6.175152,2.608848,2,1,2,4,1,2,1,1
6283-PCIIM,M,2,1,3,3,0,47,.065142,.451858,2,0,-1,1,1,1,2,0
8405-WUWNM,M,4,2,6,5,1,10,.2701,.4699,1,0,-1,1,0,2,2,0
9102-XVYQD,F,3,1,6,5,1,9,.37098,.16902,4,1,1,2,1,4,3,0
9271-LMJPX,M,2,2,3,3,0,23,.868434,1.270566,4,0,-1,1,0,2,2,0
9597-WFJWW,M,3,1,2,2,0,44,.32912,.55088,3,0,-1,4,0,2,2,0
8737-SLYLW,M,1,2,5,2,0,25,1.8611,1.8389,4,1,3,2,0,2,1,0
6510-RHKQA,F,4,1,2,2,1,10,.0923,.1677,4,1,1,5,1,3,3,0
2346-PRFOH,M,2,2,6,4,0,40,.5616,.6384,4,0,-1,1,0,2,2,0
5288-WMUVL,F,1,2,1,1,0,26,1.280916,1.995084,1,0,-1,1,1,1,1,1
1756-ZAQKI,F,3,2,2,2,0,34,1.26616,1.96384,2,0,-1,1,1,1,3,0
6839-MMJEH,F,3,3,4,4,0,37,1.062936,.491064,5,1,3,3,1,1,1,0
2608-MKAHP,M,3,2,2,2,0,134,2.474846,7.307154,1,0,-1,1,1,1,3,0
0961-QNTWC,F,3,1,2,3,0,47,.260568,3.875432,2,1,2,2,1,1,2,1
1753-OPTWP,F,3,2,2,3,0,59,3.12169,3.36831,2,0,-1,1,1,3,2,0
1007-RLIBS,M,2,2,2,3,0,23,.214199,1.326801,5,0,-1,1,0,1,1,0
7183-NQEEV,M,1,3,1,1,0,64,2.280832,4.311168,1,0,-1,1,1,3,1,0
5125-QKHIY,F,3,3,1,2,0,28,.214032,.513968,4,0,-1,1,1,1,3,0
0354-RQCGB,M,2,2,1,2,0,32,.206336,1.457664,2,1,2,3,1,1,2,0
1790-MXZMC,M,3,2,2,3,0,53,1.243274,2.678726,4,0,-1,1,0,2,2,0
3645-LEFUZ,M,2,3,2,2,0,18,.23652,.84348,3,0,-1,1,1,1,2,0
6060-PHHNZ,F,4,2,1,3,0,40,.8932,3.5068,3,0,-1,1,1,1,3,0
6902-WQLLW,F,3,3,3,4,0,115,3.08016,4.04984,4,1,3,6,1,1,3,0
8502-FYABH,F,1,2,2,1,0,24,.708768,.947232,3,1,3,6,1,3,1,1
2722-NXHRF,F,4,1,2,2,1,23,.113643,.507357,4,0,-1,1,0,2,3,0
5899-NFICX,F,3,3,6,5,0,108,1.69884,10.18116,4,0,-1,1,1,1,3,0
3329-CGLIU,M,4,1,1,4,0,30,.25752,3.22248,4,1,1,2,1,4,3,0
7414-ZZZIV,F,3,3,6,5,0,156,6.355596,14.080404,5,1,3,2,1,1,2,0
0390-EANTW,F,2,2,2,1,0,18,.206298,1.107702,2,0,-1,3,0,2,3,0
1389-QWPTK,M,1,2,1,1,0,45,1.70748,2.88252,3,0,-1,3,0,1,1,1
4886-KMWTR,F,1,1,6,3,0,28,.304304,.759696,3,1,1,3,1,3,1,0
5807-RCKCK,F,2,3,2,1,0,50,.609,3.591,4,0,-1,1,0,2,1,0
1415-GQFLO,M,3,1,2,3,0,47,3.81029,1.35971,4,1,1,3,1,1,3,0
5460-UBWFI,M,4,2,6,5,1,16,.306832,2.109168,2,0,-1,1,0,2,3,0
5613-SSPDP,F,4,2,2,3,1,42,1.212036,2.735964,3,0,-1,1,1,1,3,0
0911-OTVVF,F,1,3,1,1,0,30,1.7658,4.7742,3,1,3,5,1,1,1,1
3140-QKDTQ,M,3,2,3,4,0,85,.993225,7.081775,2,0,-1,3,1,1,2,0
5292-RGADL,F,3,2,1,4,0,53,.791184,1.752816,1,0,-1,1,1,1,3,0
9941-AUGZV,F,4,2,6,5,1,16,.483488,.444512,4,1,2,2,0,2,3,0
0485-JXHXK,M,4,2,2,5,0,90,4.6656,12.6144,5,1,2,2,1,1,3,0
3206-KKIDA,M,4,1,3,5,1,13,.08346,.07254,2,0,-1,1,1,1,3,0
4735-KLKKE,F,3,3,2,3,0,122,6.462828,13.301172,4,0,-1,1,0,2,2,0
8237-GQYQS,M,1,2,2,1,0,24,.75936,.92064,2,0,-1,1,0,1,1,1
8026-REYZG,F,2,1,3,5,0,119,9.31294,21.62706,3,1,2,3,1,1,3,1
2614-CGXRX,M,2,3,1,3,0,343,3.408048,2.079952,1,0,-1,1,1,1,2,0
4099-FUAYQ,M,4,1,1,5,0,119,5.378086,8.663914,3,1,2,2,1,1,3,0
1931-MOAHV,M,4,1,1,5,0,85,6.161225,3.103775,5,0,-1,1,1,3,3,0
1393-JSLVA,F,3,3,6,5,0,102,.999702,1.754298,2,0,-1,1,1,3,3,0
5088-VBQWC,M,3,3,2,3,0,48,2.0328,3.7752,2,1,3,2,1,1,3,0
5643-NLURT,F,3,1,4,5,0,51,3.32367,3.45933,4,1,2,2,1,1,3,0
5021-BNXEE,F,4,2,4,5,1,48,.141696,.146304,5,1,2,3,1,1,3,0
0288-IWHGZ,M,4,1,1,5,1,16,.38976,.53824,3,0,-1,1,1,4,2,0
8945-GDVSH,M,4,2,2,2,0,27,.071442,.495558,2,1,2,3,1,1,3,0
3274-IDGUU,M,1,2,2,1,0,26,.195156,.506844,3,1,1,4,1,1,1,1
8114-KDJDM,M,4,2,5,5,0,76,5.077332,3.814668,3,0,-1,2,0,2,2,0
8118-BYBZN,F,4,3,2,3,1,10,.10414,.30586,2,0,-1,1,1,1,3,0
